COUNTRY,POPULATION,enet_HG_log_raw_model_pred,enet_HG_log_raw_index_0_100
Afghanistan,"43,844,111",0.9748866466101145,2.8128645623447976
Albania,"2,771,508",2.195703739504648,15.56593851454237
Algeria,"47,435,312",2.0797151198084953,14.354281622443018
Angola,"39,040,039",0.8479694544516518,1.4870440550610144
Antigua and Barbuda,"94,209",2.2445121892403446,16.075808316164842
Argentina,"45,851,378",4.51063704377291,39.74852556674436
Armenia,"2,952,365",2.3752982862684995,17.442044730306723
Aruba,"108,147",2.895932619433879,22.8807694922353
Australia,"26,974,026",7.441683029990991,70.36723695036709
Austria,"9,113,574",5.594757995604464,51.073624758347066
Azerbaijan,"10,397,713",2.617569842311112,19.972896476000898
Bahamas,"403,033",2.4101209164614468,17.805813865458447
Bahrain,"1,643,332",2.6710644759862463,20.531719761876733
Bangladesh,"175,686,899",2.9339115279391126,23.27751019287753
Barbados,"282,623",2.0407325708297823,13.947056549281598
Belarus,"8,997,603",3.3280243916059833,27.394548302115545
Belgium,"11,758,603",5.792666238050781,53.141042118701286
Benin,"14,814,460",1.2789181383019632,5.988881772384018
Bermuda,"64,555",2.7375171894061348,21.225907591896934
Bhutan,"796,682",2.293794197959268,16.590625077302352
Bolivia,"12,581,843",2.540184916689037,19.1645070088255
Bosnia and Herzegovina,"3,140,095",1.5881131493828984,9.21883887645478
Botswana,"2,562,122",2.0322992110064586,13.858958780894904
Brazil,"212,812,405",6.352092793390563,58.985003734733255
Brunei,"466,330",2.965011869081139,23.602395020286394
Bulgaria,"6,714,560",3.378418454072959,27.920981958011716
Burkina Faso,"24,074,580",1.1978694406947419,5.142219286799467
Burundi,"14,390,003",0.9832476861574251,2.9002068483307233
Cambodia,"17,847,982",1.321333581279204,6.431968033341787
Cameroon,"29,879,337",2.2010513310050186,15.621801288963944
Canada,"40,126,723",7.6527921144874655,72.57255483314746
Cayman Islands,"75,844",2.9952076865440747,23.917830883195915
Central African Republic,"5,513,282",1.5158882363520072,8.464352670097604
Chad,"21,003,705",1.4853449109612167,8.14528662021847
Chile,"19,859,921",4.833722435407596,43.123586348882206
China,"1,416,096,094",8.043689805002499,76.65600614120687
Colombia,"53,425,635",4.6208468988807905,40.89981550250316
Congo,"6,484,437",1.4915315895325394,8.209914785893549
Costa Rica,"5,152,950",2.952462931563041,23.47130451613039
Croatia,"3,848,160",4.112928346915059,35.59392415103624
