COUNTRY,POPULATION,ridge_HG_Normalized_model_pred,ridge_HG_Normalized_index_0_100
Myanmar,"54,850,648",0.0587678409915795,0.3223609680889786
Namibia,"3,092,816",-0.02177091645408935,0.24203942917703272
Nepal,"29,618,118",-0.007741694422639611,0.2560308134377545
Netherlands,"18,346,819",3.8809751043030403,4.134259477160198
New Zealand,"5,251,899",0.9246976904752031,1.185955345581509
Nicaragua,"7,007,502",-0.011423452231833942,0.25235898558102277
Niger,"27,917,831",0.1991788745962959,0.4623933035388505
Nigeria,"237,527,782",0.8547824698386355,1.1162286910737627
North Korea,"26,571,036",-0.004987723865178095,0.25877735634838633
North Macedonia,"1,813,791",-0.07594300140864951,0.18801345003830272
Norway,"5,623,071",1.3221652977701637,1.5823509555723487
Oman,"5,494,691",0.1769019773210352,0.4401764885781858
Pakistan,"255,219,554",0.3647972767467551,0.6275650215385523
Panama,"4,571,189",-0.09644162312738924,0.1675701145034365
Papua New Guinea,"10,762,817",-0.14032174229423555,0.12380834301722636
Paraguay,"7,013,078",0.0689125483294657,0.3324783144577752
Peru,"34,576,665",0.004994514314535348,0.26873267174943466
Philippines,"116,786,962",0.34197801183887644,0.6048073017478462
Poland,"38,140,910",1.2735324927855958,1.5338493165869176
Portugal,"10,411,834",0.9938671100861658,1.2549382105399929
Qatar,"3,115,889",-0.04375816565615942,0.22011148108890766
Republic of the Congo,"112,832,473",0.01017642005942676,0.2739006015403445
Romania,"18,908,650",0.5498799764443985,0.8121485405445525
Russia,"143,997,393",0.4901113690163825,0.7525411331360047
Rwanda,"14,569,341",0.08422858956233759,0.3477530472805777
Samoa,"219,306",-0.09621348914977101,0.16779763318812396
Saudi Arabia,"34,566,328",0.6827799402059513,0.9446900640200158
Senegal,"18,931,966",0.0692565468978632,0.3328213852385212
Serbia,"6,689,039",-0.033235343819597585,0.23060592215573256
Seychelles,"132,779",0.06484457810762612,0.3284213158296731
Sierra Leone,"8,819,794",-0.14559435464629678,0.11854995126106614
Singapore,"5,870,750",4.775423834549313,5.026295818044671
Slovakia,"5,474,881",0.19861246107608954,0.461828417674623
Slovenia,"2,117,072",0.18947714937864824,0.4527177445372359
Solomon Islands,"838,645",-0.08237631248896071,0.18159749003769737
Somalia,"19,654,739",0.06941267234672654,0.33297708960637756
South Africa,"64,747,319",0.7068780770081249,0.9687232065001059
South Korea,"51,667,029",3.1850799796209808,3.4402412291944238
South Sudan,"12,188,788",-0.010938505439866963,0.2528426244383453
Spain,"47,889,958",4.347580395497561,4.599606301991501
Sri Lanka,"23,229,470",0.05886981146376735,0.3224626635398332
Sudan,"51,662,147",-0.04292862177666734,0.22093878763185673
Suriname,"639,850",0.03130396551501713,0.2949711645617556
Sweden,"10,656,633",2.9247724072378913,3.180635724126294
Switzerland,"8,967,407",3.7883124165618667,4.041846707021435
Syria,"25,620,427",0.18958850412789108,0.45282879895510886
Taiwan,"23,112,793",0.5658469325452913,0.8280724326734863
Tajikistan,"10,786,734",-0.037185540652670435,0.22666637927351777
Tanzania,"70,545,865",0.13661792409779405,0.4000010841999368
Thailand,"71,619,863",0.4033531100667189,0.6660168671407285
Timor-Leste,"1,418,517",0.03813396117647061,0.30178273925807414
Togo,"9,721,608",0.12545382465217636,0.38886709509359957
Tonga,"103,742",-0.0489372998994031,0.21494631532471623
Trinidad and Tobago,"1,511,155",-0.26446490791442967,0.0
Tunisia,"12,348,573",0.16367134300906594,0.42698153819128104
Turkey,"87,685,426",1.3936241140657084,1.6536170425560743
Turkmenistan,"7,618,847",0.14265936288214487,0.4060262288109488
Uganda,"51,384,894",-0.026159789236394948,0.23766239348460416
Ukraine,"38,980,376",0.588698142313467,0.8508620111670178
United Arab Emirates,"11,346,000",1.7838735294794494,2.0428139286225675
United Kingdom,"69,551,332",23.146043178194326,23.347368345672542
United States,"347,275,807",100.00597131213996,100.0
Uruguay,"3,384,688",0.10562715953382895,0.3690939038462457
Uzbekistan,"37,053,428",0.04685729868094635,0.3104825493250528
Vanuatu,"335,169",-0.016396470513118544,0.24739937986995283
Venezuela,"28,516,896",0.03590697780886476,0.2995617622168269
Vietnam,"101,598,527",0.4757414052212665,0.7382099261154432
Yemen,"41,773,878",0.19724955830486746,0.4604691907453304
Zambia,"21,913,874",0.11373920164430906,0.3771840672246889
Zimbabwe,"16,950,795",0.12169393288563768,0.38511734401214703
