COUNTRY,POPULATION,enet_HG_Normalized_model_pred,enet_HG_Normalized_index_0_100
Afghanistan,"43,844,111",0.08454057094987588,0.3879090964893929
Albania,"2,771,508",-0.01903224634027456,0.28464749051203897
Algeria,"47,435,312",-0.05231276150175046,0.2514669752644877
Angola,"39,040,039",0.17607181546925843,0.47916531171524024
Antigua and Barbuda,"94,209",0.012713707320171519,0.31629805524541776
Argentina,"45,851,378",0.6800516067195455,0.9816307653568621
Armenia,"2,952,365",0.024576714479081163,0.328125416931623
Aruba,"108,147",-0.0212507723562112,0.2824356306312134
Australia,"26,974,026",4.414475137145583,4.704833254588414
Austria,"9,113,574",1.1660595517816212,1.4661783738695462
Azerbaijan,"10,397,713",-0.010965578077137605,0.29268992038439207
Bahamas,"403,033",0.001335323906505037,0.3049538611270926
Bahrain,"1,643,332",0.015352683486732577,0.31892910192566454
Bangladesh,"175,686,899",0.3278383782970047,0.6304758526591373
Barbados,"282,623",-0.02743617859393077,0.27626881004604037
Belarus,"8,997,603",0.01800251336631753,0.32157096970614774
Belgium,"11,758,603",1.714691089633388,2.013161406393336
Benin,"14,814,460",-0.07260630526640299,0.23123440869985273
Bermuda,"64,555",0.03335755756811598,0.3368798757069286
Bhutan,"796,682",0.03350186246150755,0.33702374699895166
Bolivia,"12,581,843",0.06772056682473426,0.3711396324161876
Bosnia and Herzegovina,"3,140,095",0.08208901092738285,0.38546490281294477
Botswana,"2,562,122",0.08670949761420799,0.3900715060526919
Brazil,"212,812,405",2.6771327614389904,2.972711173314923
Brunei,"466,330",-0.09680967717456257,0.20710376208142375
Bulgaria,"6,714,560",-0.02286873264787692,0.28082253191963785
Burkina Faso,"24,074,580",0.20984940044631895,0.5128414032035763
Burundi,"14,390,003",-0.047662786036172244,0.25610297867632653
Cambodia,"17,847,982",0.08372573167788233,0.38709670561270415
Cameroon,"29,879,337",-0.017579620002092122,0.2860957520587487
Canada,"40,126,723",8.263349079995445,8.542142260383539
Cayman Islands,"75,844",0.15562623672658793,0.45878116700099403
Central African Republic,"5,513,282",-0.06761024462212961,0.23621545738797206
Chad,"21,003,705",0.0745093675075379,0.3779080343918006
Chile,"19,859,921",0.3474910088741161,0.6500694318256389
China,"1,416,096,094",13.022756708093373,13.28724901751139
Colombia,"53,425,635",0.46373510896593584,0.7659642464587744
Congo,"6,484,437",0.08977690759733536,0.39312969920931295
Costa Rica,"5,152,950",-0.051833600801561186,0.2519446962024454
Croatia,"3,848,160",0.23241756695001148,0.5353417578150292
Cuba,"10,937,203",-0.13543599612467183,0.16859350589511168
Cyprus,"1,370,754",0.5798438603428497,0.8817241190672181
Czech Republic,"10,609,239",0.7139177589017824,1.0153951579273037
Denmark,"6,002,507",2.1680514042604884,2.465159482719149
Djibouti,"1,184,076",-0.05488107265180431,0.24890638126943251
Dominican Republic,"11,520,487",0.2432660569513121,0.5461576507227729
Ecuador,"18,289,896",0.05300820690303376,0.3564714795843912
Egypt,"118,365,995",0.7976974212846102,1.0989230826496337
El Salvador,"6,365,503",-0.09519324939634233,0.20871533288438676
Equatorial Guinea,"1,938,431",0.008839974432105713,0.31243596198953594
Eritrea,"3,607,003",0.021682768790653784,0.32524016685137175
Estonia,"1,344,232",0.767746071655828,1.0690617295960327
Eswatini,"1,256,174",0.12756769509908206,0.430806934517562
Ethiopia,"135,472,051",-0.025353186398211047,0.27834554335306
Fiji,"933,154",-0.013369690830273395,0.2902930314097108
Finland,"5,623,329",1.491904994532402,1.7910447297260976
France,"66,650,804",7.305552800616155,7.587223927605452
Gabon,"2,593,130",0.2163504615106373,0.5193229301487953
Gambia,"2,822,093",0.012419649262850552,0.3160048807615715
Georgia,"3,806,671",0.21307304252104164,0.5160553590120729
Germany,"84,075,075",8.821511682731725,9.098627719242726
Ghana,"35,064,272",0.1637829076984838,0.4669133291456935
Greece,"9,938,844",0.14786973774613732,0.45104797442750977
Guatemala,"18,687,881",-0.013308267822666142,0.2903542698560081
Guinea,"15,099,727",-0.029428697408227178,0.27428227826977375
Guinea-Bissau,"2,249,515",-0.052707263139834426,0.25107365900859085
Haiti,"11,906,095",0.10400923136576301,0.4073192582805933
Honduras,"11,005,850",-0.047540462016608664,0.25622493514174116
Hungary,"9,632,287",0.6081266745549121,0.9099219502502309
Iceland,"398,266",0.22431302741173198,0.527261570461573
India,"1,463,865,525",22.687493331454675,22.922945440450583
Indonesia,"285,721,236",1.3421866836747416,1.641776286249578
Iran,"92,417,681",0.011286926033592604,0.31487556109217063
Iraq,"47,020,774",-0.004882661375620767,0.29875455938967704
Ireland,"5,308,039",1.320921909708548,1.6205754077956964
Isle of Man,"84,118",0.036449213275375314,0.3399622417351337
Israel,"9,517,181",4.14347617100641,4.434648574921551
Italy,"59,146,260",2.6487586045531026,2.944422273920769
Ivory Coast,"32,711,547",0.01893695986392907,0.3225026084176155
Jamaica,"2,837,077",-0.13332992721601467,0.17069324657511725
Japan,"123,103,479",2.78609577890185,3.0813467832146975
Jordan,"11,520,684",0.16209331517980474,0.4652288134446543
Kazakhstan,"20,843,754",-0.06288065113987606,0.24093083958356643
Kenya,"57,532,493",0.5158168433097479,0.8178894877637571
Kosovo,"1,600,000",0.029401445618816524,0.33293565091900534
