COUNTRY,POPULATION,enet_HG_per_100k_model_pred,enet_HG_per_100k_index_0_100
Afghanistan,"43,844,111",0.5369870233291807,16.29806410003594
Albania,"2,771,508",1.7167696611768528,22.561034507478798
Algeria,"47,435,312",-0.835810618516521,9.010458120368126
Angola,"39,040,039",-1.1767109730207563,7.200761347713574
Antigua and Barbuda,"94,209",1.6860743224386825,22.39808584897479
Argentina,"45,851,378",-0.6256507319024895,10.126108671978608
Armenia,"2,952,365",3.885953382701508,34.076319628982496
Aruba,"108,147",1.4138585806172785,20.953006831217895
Australia,"26,974,026",14.371526020118171,89.7398198590242
Austria,"9,113,574",8.919334060604804,60.796423166540414
Azerbaijan,"10,397,713",1.7032983086465738,22.489520756098887
Bahamas,"403,033",13.324231874376174,84.18017519885488
Bahrain,"1,643,332",3.358279851725822,31.27512252430167
Bangladesh,"175,686,899",-1.4761523737036626,5.611152744334193
Barbados,"282,623",3.627738868017768,32.705567244300184
Belarus,"8,997,603",2.6888016194339155,27.721143831310652
Belgium,"11,758,603",6.2958575108390855,46.86948826455007
Benin,"14,814,460",1.566018393537242,21.76075935693595
Bermuda,"64,555",16.30428022523585,100.0
Bhutan,"796,682",0.11252189042286886,14.044757023714336
Bolivia,"12,581,843",0.1003541883751562,13.980163805093632
Bosnia and Herzegovina,"3,140,095",1.3492150381578851,20.609841420516425
Botswana,"2,562,122",0.6113718403107704,16.692941844947203
Brazil,"212,812,405",0.4878267483872665,16.037092852192643
Brunei,"466,330",3.05465717892043,29.663317303741714
Bulgaria,"6,714,560",3.739455194221884,33.29862228901678
Burkina Faso,"24,074,580",-0.6139649057595502,10.188143813852937
Burundi,"14,390,003",-2.3682605571607205,0.875325165601378
Cambodia,"17,847,982",-1.3233681286825973,6.422220117758262
Cameroon,"29,879,337",-1.7139694918779291,4.348681568943764
Canada,"40,126,723",7.941347997765207,55.60470600274978
Cayman Islands,"75,844",16.265361638038247,99.79339756994328
Central African Republic,"5,513,282",0.4526056047733662,15.850118596856442
Chad,"21,003,705",-1.3616292078015846,6.219108121877214
Chile,"19,859,921",2.9848255937035333,29.292610753494348
China,"1,416,096,094",3.317200221798659,31.05704802622981
Colombia,"53,425,635",1.7720489253038665,22.854488898369237
Congo,"6,484,437",-2.533149318509553,0.0
Costa Rica,"5,152,950",3.1935637646168975,30.40071401370094
Croatia,"3,848,160",2.0956406779250654,24.57230157482668
Cuba,"10,937,203",-1.4710908011407096,5.638022506746304
Cyprus,"1,370,754",5.90434086149423,44.79109084607186
Czech Republic,"10,609,239",5.957240548006304,45.071913059045386
Denmark,"6,002,507",12.39124825534606,79.2273571040958
Djibouti,"1,184,076",1.1071792977074457,19.324975351669984
Dominican Republic,"11,520,487",0.6892277719442346,17.10624627935882
Ecuador,"18,289,896",1.5915553365685342,21.89632425963135
Egypt,"118,365,995",-0.7953242643044423,9.225383166898805
El Salvador,"6,365,503",1.4084406153699047,20.9242451297618
Equatorial Guinea,"1,938,431",0.36537790864571074,15.38706340174561
Eritrea,"3,607,003",0.4410565768485535,15.78880965925435
Estonia,"1,344,232",8.392916991933305,58.001896092403136
Eswatini,"1,256,174",-0.7783083098387227,9.315713720896122
Ethiopia,"135,472,051",-2.1160312884513166,2.2143043937580758
Fiji,"933,154",1.6351792780206018,22.127905438744783
Finland,"5,623,329",9.386235588541837,63.275007236902916
France,"66,650,804",4.941369004361034,39.679077793033365
Gabon,"2,593,130",0.9405520345967031,18.44042121054478
Gambia,"2,822,093",-1.3517560072899846,6.271520795743742
Georgia,"3,806,671",3.2254368050464444,30.569914595741764
Germany,"84,075,075",7.971068413297023,55.7624792035084
Ghana,"35,064,272",-0.6653819081838699,9.915192547838029
Greece,"9,938,844",2.6878525074427264,27.716105394463497
Guatemala,"18,687,881",1.1856973710831444,19.74179481843088
Guinea,"15,099,727",-2.17154860469942,1.9195862841604912
Guinea-Bissau,"2,249,515",0.7325577043963336,17.336266688202162
Haiti,"11,906,095",-2.3646615630425654,0.894430713467117
Honduras,"11,005,850",-0.6127880545850353,10.19439122235303
Hungary,"9,632,287",4.667971042880726,38.22772286774801
Iceland,"398,266",11.45871261520955,74.27691714109065
India,"1,463,865,525",-1.2020967973707206,7.065998670613646
Indonesia,"285,721,236",0.01835326204289478,13.544855335103955
Iran,"92,417,681",6.28109171450969,46.79110285482575
Iraq,"47,020,774",4.352061949625437,36.550694202442756
Ireland,"5,308,039",10.277483868937008,68.0062699515183
Isle of Man,"84,118",5.387728548967171,42.04861310340877
Israel,"9,517,181",14.776024969247693,91.88713485330283
Italy,"59,146,260",3.1765362017894803,30.310321835787953
Ivory Coast,"32,711,547",0.25971914272856633,14.826165399861768
Jamaica,"2,837,077",1.815253117599585,23.08384180554475
Japan,"123,103,479",4.948050464013951,39.71454685550497
Jordan,"11,520,684",1.2892850968801393,20.291698538343606
Kazakhstan,"20,843,754",1.6878250164053932,22.407379547792054
Kenya,"57,532,493",-0.631172392645829,10.09679649469605
Kosovo,"1,600,000",2.7429048382174774,28.008355091519586
Kuwait,"5,026,078",3.907099886928039,34.188577536450296
Kyrgyzstan,"7,295,034",0.3351522353964591,15.2266080000197
Laos,"7,873,046",-1.3554567691763548,6.251875005548343
Latvia,"1,853,559",6.490796314247303,47.904336479671564
Lebanon,"5,849,421",1.1128711294188984,19.355190895134843
Lesotho,"2,363,325",-0.20396743025419184,12.364648174775631
Liberia,"5,731,206",-0.7979817217215741,9.211275841847048
Libya,"7,458,555",-1.7000105844393758,4.42278354451393
Lithuania,"2,830,144",7.436615368767214,52.92529250938609
Luxembourg,"680,453",10.217422138353378,67.68742745528414
Madagascar,"32,740,678",-1.2742435512184151,6.683001862688494
Malawi,"22,216,120",-2.154704557281959,2.009004255855327
Malaysia,"35,977,838",1.2726680858777772,20.203485807600416
Maldives,"529,676",1.9141846554643425,23.609027779751116
Mali,"25,198,821",0.5583743860462289,16.411600624047253
Malta,"545,405",5.215517568385167,41.13441735190199
Mauritania,"5,315,065",-0.8593539734096027,8.885476339608665
Mauritius,"1,268,280",0.4269883646210939,15.714127430477914
Mexico,"131,946,900",0.8232927553498173,17.817940956672672
Micronesia,"113,683",1.8938280478906182,23.500963101784038
Moldova,"2,996,106",1.7332680671445408,22.648617613917896
Mongolia,"3,517,100",-0.3284910091194364,11.70360480590161
Montenegro,"632,729",2.8015035057960884,28.31943080088073
Morocco,"38,430,770",0.5707926210098777,16.477523816671862
Mozambique,"35,631,653",-0.6199397336218939,10.15642596270733
Myanmar,"54,850,648",-1.894708625374716,3.389213436218629
Namibia,"3,092,816",1.6291856914676859,22.096088005591298
Nepal,"29,618,118",-1.7249278796315455,4.290508091887523
Netherlands,"18,346,819",11.82400303335525,76.21609051555451
New Zealand,"5,251,899",8.655780346006253,59.39732721246392
Nicaragua,"7,007,502",-1.13408271294651,7.427056872669634
Niger,"27,917,831",-1.8893513543962825,3.417652937298076
Nigeria,"237,527,782",-1.956295451979777,3.0622748458868627
North Korea,"26,571,036",0.7441067323211463,17.397575625804254
North Macedonia,"1,813,791",1.5364774658216225,21.603938981592187
Norway,"5,623,071",9.824110657285567,65.59950202918266
Oman,"5,494,691",3.553906877707559,32.31362422394939
Pakistan,"255,219,554",-1.06449884388182,7.7964484019284335
Panama,"4,571,189",3.4329827721017745,31.671688946501007
Papua New Guinea,"10,762,817",-0.7640322328561089,9.391499416335412
Paraguay,"7,013,078",0.6821116800364595,17.06846993683157
Peru,"34,576,665",0.8629147474362222,18.028277467789504
Philippines,"116,786,962",-0.17544626302014654,12.516055070115634
Poland,"38,140,910",5.553585280109703,42.92907681400882
Portugal,"10,411,834",2.531564942763249,26.88644036868842
